Date and Time: 09-Aug-2024 16:55:09
---------------------------------
N1 X0.000000 Y0.000000 Z0.000000
N2 X0.008472 Y0.007258 Z0.001449
N3 X0.033889 Y0.029033 Z0.005798
N4 X0.056573 Y0.048467 Z0.009679
N5 X0.079257 Y0.067901 Z0.013560
N6 X0.101941 Y0.087335 Z0.017441
N7 X0.124625 Y0.106769 Z0.021322
N8 X0.147308 Y0.126202 Z0.025203
N9 X0.169992 Y0.145636 Z0.029084
N10 X0.192676 Y0.165070 Z0.032965
N11 X0.215360 Y0.184504 Z0.036846
N12 X0.238044 Y0.203938 Z0.040727
N13 X0.260728 Y0.223372 Z0.044607
N14 X0.283412 Y0.242805 Z0.048488
N15 X0.306096 Y0.262239 Z0.052369
N16 X0.328780 Y0.281673 Z0.056250
N17 X0.351464 Y0.301107 Z0.060131
N18 X0.374148 Y0.320541 Z0.064012
N19 X0.396832 Y0.339974 Z0.067893
N20 X0.419516 Y0.359408 Z0.071774
N21 X0.442200 Y0.378842 Z0.075655
N22 X0.464884 Y0.398276 Z0.079536
N23 X0.487568 Y0.417710 Z0.083417
N24 X0.510251 Y0.437144 Z0.087298
N25 X0.532935 Y0.456577 Z0.091179
N26 X0.555619 Y0.476011 Z0.095060
N27 X0.578303 Y0.495445 Z0.098941
N28 X0.600987 Y0.514879 Z0.102822
N29 X0.623671 Y0.534313 Z0.106703
N30 X0.646355 Y0.553746 Z0.110584
N31 X0.669039 Y0.573180 Z0.114465
N32 X0.691723 Y0.592614 Z0.118346
N33 X0.714407 Y0.612048 Z0.122226
N34 X0.737091 Y0.631482 Z0.126107
N35 X0.759775 Y0.650916 Z0.129988
N36 X0.782459 Y0.670349 Z0.133869
N37 X0.805143 Y0.689783 Z0.137750
N38 X0.827827 Y0.709217 Z0.141631
N39 X0.850511 Y0.728651 Z0.145512
N40 X0.873194 Y0.748085 Z0.149393
N41 X0.895878 Y0.767519 Z0.153274
N42 X0.918562 Y0.786952 Z0.157155
N43 X0.941246 Y0.806386 Z0.161036
N44 X0.963930 Y0.825820 Z0.164917
N45 X0.986614 Y0.845254 Z0.168798
N46 X1.009298 Y0.864688 Z0.172679
N47 X1.031982 Y0.884121 Z0.176560
N48 X1.054666 Y0.903555 Z0.180441
N49 X1.077350 Y0.922989 Z0.184322
N50 X1.100034 Y0.942423 Z0.188203
N51 X1.122718 Y0.961857 Z0.192084
N52 X1.145402 Y0.981291 Z0.195965
N53 X1.168086 Y1.000724 Z0.199845
N54 X1.190770 Y1.020158 Z0.203726
N55 X1.213454 Y1.039592 Z0.207607
N56 X1.236137 Y1.059026 Z0.211488
N57 X1.258821 Y1.078460 Z0.215369
N58 X1.281505 Y1.097894 Z0.219250
N59 X1.304189 Y1.117327 Z0.223131
N60 X1.326873 Y1.136761 Z0.227012
N61 X1.349557 Y1.156195 Z0.230893
